Fast first order indexes
                    	              LAI[1]	              LAI[2]	              LAI[3]	              LAI[4]	              LAI[5]	              LAI[6]	              LAI[7]	              LAI[8]	              LAI[9]	             LAI[10]	             LAI[11]	             LAI[12]	             LAI[13]	             LAI[14]	             LAI[15]	             LAI[16]	             LAI[17]	             LAI[18]	             LAI[19]	             LAI[20]	             LAI[21]	             LAI[22]	             LAI[23]	             LAI[24]	             LAI[25]	             LAI[26]	             LAI[27]	             LAI[28]	             LAI[29]	             LAI[30]	             LAI[31]	             LAI[32]	             LAI[33]	             LAI[34]	             LAI[35]	             LAI[36]	             LAI[37]	             LAI[38]	             LAI[39]	             LAI[40]	             LAI[41]	             LAI[42]	             LAI[43]	             LAI[44]	             LAI[45]	             LAI[46]	             LAI[47]	             LAI[48]	             LAI[49]	             LAI[50]	             LAI[51]	             LAI[52]	             LAI[53]	             LAI[54]	             LAI[55]	             LAI[56]	             LAI[57]	             LAI[58]	             LAI[59]	             LAI[60]	             LAI[61]	             LAI[62]	             LAI[63]	             LAI[64]	             LAI[65]	             LAI[66]	             LAI[67]	             LAI[68]	             LAI[69]	             LAI[70]	             LAI[71]	             LAI[72]	             LAI[73]	             LAI[74]	             LAI[75]	             LAI[76]	             LAI[77]	             LAI[78]	             LAI[79]	             LAI[80]	             LAI[81]	             LAI[82]	             LAI[83]	             LAI[84]	             LAI[85]	             LAI[86]	             LAI[87]	             LAI[88]	             LAI[89]	             LAI[90]	             LAI[91]	             LAI[92]	             LAI[93]	             LAI[94]	             LAI[95]	             LAI[96]	             LAI[97]	             LAI[98]	             LAI[99]	            LAI[100]	            LAI[101]	            LAI[102]	            LAI[103]	            LAI[104]	            LAI[105]	            LAI[106]	            LAI[107]	            LAI[108]	            LAI[109]	            LAI[110]	            LAI[111]	            LAI[112]	            LAI[113]	            LAI[114]	            LAI[115]	            LAI[116]	            LAI[117]	            LAI[118]	            LAI[119]	            LAI[120]	            LAI[121]	            LAI[122]	            LAI[123]	            LAI[124]	            LAI[125]	            LAI[126]	            LAI[127]	            LAI[128]	            LAI[129]	            LAI[130]	
                 Q10	           1.57e-005	            0.000705	            0.000335	            0.000351	            0.000977	            0.000826	            0.000313	            0.000232	            0.000856	            0.000843	            0.000202	            0.000495	            0.000575	             0.00043	           8.74e-005	             0.00019	            0.000864	            0.000258	            0.000121	            0.000231	            0.000276	            0.000362	            0.000283	             0.00039	             0.00024	            0.000485	            0.000637	             0.00027	            0.000635	            0.000292	            0.000784	           6.28e-005	            0.000607	            0.000175	            0.000817	            0.000164	            0.000217	            0.000309	            0.000363	            0.000113	            0.000142	            0.000113	            0.000163	             0.00016	            0.000215	            0.000327	            0.000312	            0.000183	            0.000274	            0.000585	            0.000699	            0.000357	            0.000395	            0.000281	             0.00076	              0.0010	            0.000432	            0.000219	            0.000458	             0.00037	            0.000154	             0.00015	            0.000157	           8.88e-005	            0.000101	            7.8e-005	           9.76e-005	            0.000115	            0.000133	            0.000133	             0.00013	            0.000185	            0.000182	            0.000185	            0.000197	            0.000226	            0.000244	            0.000237	            0.000268	             0.00033	            0.000462	            0.000524	            0.000557	            0.000749	             0.00089	            0.000945	              0.0011	              0.0014	              0.0018	              0.0020	              0.0023	              0.0027	              0.0029	              0.0031	              0.0034	              0.0038	              0.0038	              0.0042	              0.0053	              0.0709	              0.0725	              0.0184	              0.0082	              0.0054	              0.0238	              0.0292	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	              0.0277	
                 RML	           3.18e-005	            0.000422	            0.000473	            0.000595	            0.000414	            0.000397	            0.000598	            0.000315	            0.000376	            0.000331	             0.00039	            0.000711	            0.000112	            0.000262	           6.86e-005	             0.00018	            0.000198	           5.59e-005	           9.66e-005	            0.000219	            0.000296	           8.61e-005	            0.000177	            0.000293	            0.000182	            0.000211	            0.000303	            0.000109	            0.000329	            0.000171	            0.000734	            0.000209	            0.000148	           8.33e-005	            0.000617	           7.32e-005	            0.000118	            0.000161	            0.000258	            0.000162	             0.00012	            0.000194	             0.00022	           8.16e-005	            0.000137	            0.000239	            0.000408	            0.000248	            0.000315	            0.000778	            0.000635	            0.000697	            0.000403	            0.000273	            0.000367	            0.000434	            0.000107	            0.000139	            0.000272	            0.000146	           6.72e-005	           8.36e-005	           9.38e-005	           6.27e-005	           6.32e-005	            8.6e-005	           9.37e-005	            0.000107	            0.000106	            0.000133	            0.000158	            0.000176	            0.000192	            0.000208	            0.000219	            0.000224	             0.00023	            0.000227	            0.000223	            0.000231	            0.000242	             0.00025	            0.000266	             0.00026	            0.000284	             0.00027	            0.000283	            0.000312	            0.000322	            0.000308	            0.000311	            0.000327	            0.000308	              0.0262	              0.0286	              0.0307	              0.0350	              0.0319	              0.0339	              0.0370	              0.0386	              0.0047	              0.0026	              0.0019	              0.0018	              0.0016	              0.0016	              0.0013	              0.0012	              0.0018	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	              0.0019	
                 RMO	            0.000108	              0.0017	              0.0025	              0.0028	              0.0030	              0.0019	              0.0026	            0.000906	              0.0029	              0.0017	            0.000838	              0.0015	            0.000848	              0.0014	            0.000151	            0.000569	              0.0015	            0.000703	            0.000305	            0.000114	            0.000414	            0.000783	              0.0011	            0.000778	            0.000926	            0.000957	            0.000995	            0.000609	              0.0024	            0.000577	              0.0023	            0.000331	              0.0030	            0.000491	              0.0022	            0.000239	              0.0014	            0.000406	            0.000591	            0.000534	            0.000197	            0.000217	            0.000275	            0.000639	              0.0012	              0.0021	              0.0010	              0.0023	              0.0014	              0.0017	            0.000285	            0.000135	            0.000117	            0.000105	           7.13e-005	           8.27e-005	           6.83e-005	           5.76e-005	           3.88e-005	           2.82e-005	           1.06e-005	           1.74e-005	           5.39e-005	           4.41e-005	           6.93e-005	           7.48e-005	           9.69e-005	           9.67e-005	            0.000106	            0.000116	            0.000115	            0.000114	           9.28e-005	           8.57e-005	           7.44e-005	           6.41e-005	           6.12e-005	           5.66e-005	           6.31e-005	           5.41e-005	           6.31e-005	           5.19e-005	           4.65e-005	           4.21e-005	           4.42e-005	           3.85e-005	           3.18e-005	           3.76e-005	           4.72e-005	           5.37e-005	           5.87e-005	           6.31e-005	            6.4e-005	           7.37e-005	           8.34e-005	           8.78e-005	           9.59e-005	           9.81e-005	            0.000116	              0.0516	              0.0494	              0.0506	              0.0299	              0.0119	              0.0196	              0.0166	              0.0149	              0.0117	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	              0.0155	
                 RMR	              4e-005	              0.0012	             0.00057	            0.000708	            0.000965	              0.0011	            0.000224	            0.000134	            0.000539	            0.000688	           8.17e-005	            0.000217	            0.000341	            0.000664	            0.000143	            0.000224	            0.000708	            0.000303	             0.00011	            0.000662	            0.000275	            0.000197	            0.000727	            0.000767	            0.000372	            0.000702	             0.00093	            0.000852	            0.000829	              0.0014	            0.000677	            0.000366	              0.0028	            0.000662	              0.0017	            0.000191	             0.00069	            0.000543	              0.0015	              0.0010	            0.000939	              0.0011	              0.0011	              0.0020	              0.0012	              0.0019	            0.000575	              0.0011	              0.0013	              0.0010	            0.000965	              0.0013	            0.000704	            0.000183	            0.000286	            0.000979	            0.000435	            0.000183	            0.000283	            0.000513	            0.000573	            0.000197	            0.000181	            0.000277	            0.000264	            0.000229	             0.00018	            0.000264	            0.000337	            0.000386	            0.000384	             0.00039	            0.000383	            0.000348	            0.000334	            0.000335	            0.000341	            0.000335	             0.00034	            0.000369	             0.00035	            0.000374	            0.000442	            0.000446	            0.000455	             0.00049	            0.000534	            0.000535	            0.000533	            0.000544	            0.000545	              0.0423	              0.0453	              0.0588	              0.0595	              0.0607	              0.0625	              0.0642	              0.0646	              0.0643	              0.0642	            0.000325	            0.000318	            0.000285	            0.000296	            0.000229	            0.000212	            0.000228	            0.000239	            0.000239	            0.000239	            0.000314	            0.000324	            0.000324	            0.000361	             0.00022	             0.00022	            0.000256	            0.000323	            0.000281	            0.000281	            0.000227	            0.000206	            0.000194	            0.000236	            0.000182	            0.000182	            0.000182	            0.000182	            0.000182	
                 RMS	           2.47e-005	            0.000872	            0.000667	              0.0018	              0.0027	              0.0042	              0.0033	              0.0030	              0.0108	              0.0123	              0.0032	              0.0112	              0.0049	              0.0052	            0.000864	              0.0021	              0.0042	              0.0014	            0.000909	            0.000822	              0.0025	              0.0014	            0.000932	             0.00083	              0.0023	            0.000928	              0.0028	            0.000893	              0.0033	            0.000608	              0.0042	              0.0013	              0.0028	            0.000623	              0.0033	            0.000348	            0.000593	            0.000534	            0.000939	            0.000571	            0.000204	            0.000364	            0.000451	            0.000372	            0.000638	            0.000816	            0.000946	            0.000971	              0.0012	              0.0022	            0.000834	            0.000277	              0.0013	            0.000803	            0.000432	            0.000534	            0.000411	            0.000281	            0.000429	            0.000442	            0.000594	            0.000635	            0.000625	            0.000896	              0.0014	              0.0014	              0.0015	              0.0023	              0.0027	              0.0032	              0.0038	              0.0051	              0.0057	              0.0062	              0.0066	              0.0073	              0.0078	              0.0081	              0.0085	              0.0094	              0.0103	              0.0105	              0.0112	              0.0129	              0.0137	              0.0138	              0.0141	              0.0154	              0.0161	              0.0165	              0.0176	              0.0197	              0.0216	              0.0234	              0.0268	              0.0303	              0.0333	              0.0365	              0.0397	              0.0441	              0.0400	              0.0056	              0.0078	              0.0090	              0.0144	              0.0144	              0.0116	              0.0068	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	              0.0086	
               FRTB1	              0.0012	            0.000597	             0.00072	              0.0016	            0.000185	             0.00013	             0.00059	            0.000532	            0.000128	            0.000199	            0.000246	              0.0011	            0.000201	            0.000268	            0.000302	            0.000168	            0.000776	            0.000515	            0.000252	            0.000652	            0.000567	            0.000497	            0.000787	              0.0015	            0.000914	              0.0013	              0.0019	              0.0032	              0.0018	              0.0020	              0.0040	            0.000329	              0.0071	              0.0012	              0.0103	              0.0012	              0.0012	              0.0012	              0.0015	              0.0011	             0.00067	            0.000427	            0.000353	            0.000443	             0.00033	            0.000276	            0.000158	            0.000215	            0.000388	            0.000172	            0.000275	            0.000159	             0.00023	            0.000367	            0.000257	           9.14e-005	            0.000193	            0.000419	            0.000324	            0.000152	            0.000115	            0.000346	            0.000245	            0.000135	            0.000166	            0.000364	             0.00024	            0.000197	            0.000241	            0.000361	            0.000375	            0.000483	            0.000569	            0.000594	            0.000626	              0.0008	              0.0011	              0.0012	              0.0013	              0.0016	              0.0021	              0.0022	              0.0019	              0.0020	              0.0021	              0.0019	              0.0017	              0.0018	              0.0017	              0.0016	              0.0017	              0.0046	              0.0094	              0.0108	              0.0165	              0.0744	              0.0733	              0.0433	              0.0439	              0.0483	              0.0483	              0.0020	              0.0012	              0.0013	              0.0011	              0.0011	            0.000571	            0.000493	            0.000523	            0.000512	            0.000475	            0.000519	            0.000666	            0.000734	            0.000386	            0.000569	             0.00054	            0.000592	            0.000678	            0.000678	            0.000678	            0.000678	            0.000678	            0.000678	            0.000678	            0.000678	            0.000678	            0.000678	            0.000678	            0.000678	
               FRTB5	           2.79e-005	            0.000604	            0.000362	             0.00075	            0.000781	              0.0010	            0.000596	             0.00045	              0.0012	              0.0011	            0.000251	              0.0012	            0.000627	             0.00072	            0.000234	            0.000891	              0.0024	            0.000708	             0.00099	              0.0008	              0.0014	              0.0010	              0.0027	              0.0018	              0.0018	              0.0015	              0.0042	              0.0021	              0.0047	              0.0024	              0.0075	            0.000822	              0.0066	              0.0015	              0.0041	            0.000379	              0.0011	              0.0003	             0.00059	            0.000888	            0.000474	            0.000477	            0.000505	            0.000632	            0.000944	            0.000795	            0.000591	            0.000782	              0.0010	              0.0012	            0.000664	            0.000603	            0.000801	            0.000742	            0.000409	            0.000388	            0.000425	            0.000268	            0.000305	            0.000238	            0.000182	            0.000119	            0.000145	            0.000144	            0.000147	            0.000129	            0.000142	            0.000167	            0.000167	            0.000136	            0.000139	             0.00015	            0.000149	            0.000154	            0.000161	            0.000149	            0.000139	            0.000148	            0.000138	            0.000152	            0.000144	            0.000158	            0.000184	            0.000176	            0.000189	            0.000225	            0.000251	            0.000252	            0.000307	            0.000355	            0.000377	            0.000373	             0.00054	            0.000775	            0.000752	            0.000996	              0.0011	              0.0464	              0.0483	              0.0559	              0.0571	              0.0032	              0.0035	              0.0030	              0.0030	              0.0029	              0.0024	            0.000551	            0.000602	            0.000289	            0.000277	            0.000327	            0.000449	            0.000725	             0.00033	            0.000302	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	             0.00033	
               FRTB7	           8.09e-005	              0.0029	              0.0022	              0.0024	              0.0050	              0.0058	              0.0025	              0.0025	              0.0056	              0.0070	              0.0026	              0.0048	              0.0039	              0.0090	              0.0016	              0.0042	              0.0215	              0.0028	            0.000516	              0.0054	              0.0076	              0.0079	              0.0279	              0.0176	              0.0283	              0.0389	              0.0239	              0.0202	              0.0636	              0.0539	              0.0133	              0.0252	              0.0568	              0.0288	              0.0106	              0.0240	              0.0343	              0.0187	              0.0125	              0.0165	              0.0117	              0.0070	              0.0068	              0.0087	              0.0058	              0.0063	              0.0063	              0.0102	              0.0150	              0.0138	              0.0180	              0.0231	              0.0228	              0.0224	              0.0208	              0.0201	              0.0224	              0.0234	              0.0200	              0.0190	              0.0191	              0.0175	              0.0139	              0.0147	              0.0149	              0.0141	              0.0127	              0.0143	              0.0152	              0.0151	              0.0145	              0.0148	              0.0142	              0.0127	              0.0117	              0.0109	              0.0103	              0.0097	              0.0093	              0.0092	              0.0089	              0.0085	              0.0081	              0.0081	              0.0084	              0.0077	              0.0076	              0.0079	              0.0079	              0.0075	              0.0078	              0.0080	              0.0081	              0.0080	              0.0082	              0.0090	              0.0094	              0.0096	              0.0104	              0.0350	              0.0371	              0.0089	              0.0088	              0.0059	              0.0113	              0.0118	              0.0124	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	              0.0134	
               FLTB3	              0.1069	              0.1589	              0.1811	              0.2189	              0.3262	              0.3421	              0.2266	              0.1829	              0.1701	              0.1226	              0.0746	              0.0534	              0.0533	              0.0472	              0.0292	              0.0249	              0.0281	              0.0229	              0.0182	              0.0161	              0.0162	              0.0182	              0.0211	              0.0184	              0.0235	              0.0251	              0.0204	              0.0207	              0.0279	              0.0262	              0.0181	              0.0225	              0.0328	              0.0268	              0.0214	              0.0308	              0.0389	              0.0321	              0.0288	              0.0336	              0.0316	              0.0263	              0.0266	              0.0334	              0.0348	              0.0417	              0.0537	              0.0724	              0.0841	              0.0670	              0.0562	              0.0430	              0.0271	              0.0171	              0.0113	              0.0079	              0.0063	              0.0048	              0.0033	              0.0029	              0.0029	              0.0025	              0.0019	              0.0018	              0.0018	              0.0015	              0.0013	              0.0012	              0.0011	              0.0010	            0.000991	            0.000978	            0.000949	             0.00087	            0.000834	            0.000846	            0.000844	            0.000804	            0.000768	            0.000813	            0.000839	            0.000828	            0.000807	            0.000863	            0.000957	            0.000958	              0.0010	              0.0012	              0.0014	              0.0014	              0.0018	              0.0023	              0.0028	              0.0033	              0.0043	              0.0054	              0.0059	              0.0062	              0.0055	              0.0414	              0.0425	              0.0121	              0.0083	              0.0072	              0.0046	              0.0053	              0.0078	              0.0069	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	
               FLTB5	           6.84e-005	              0.0035	              0.0016	              0.0017	              0.0059	              0.0049	              0.0023	              0.0020	              0.0037	              0.0058	              0.0022	              0.0051	              0.0025	              0.0047	            0.000841	              0.0022	              0.0043	            0.000475	            0.000768	            0.000933	              0.0015	              0.0028	              0.0057	              0.0056	              0.0047	              0.0026	              0.0017	              0.0019	              0.0104	              0.0021	              0.0119	              0.0016	              0.0057	              0.0011	              0.0113	              0.0035	              0.0038	              0.0043	              0.0066	              0.0065	              0.0080	              0.0105	              0.0125	              0.0135	              0.0308	              0.0505	              0.0877	              0.1627	              0.2032	              0.1721	              0.1082	              0.0731	              0.0508	              0.0371	              0.0248	              0.0197	              0.0153	              0.0119	              0.0100	              0.0085	              0.0071	              0.0062	              0.0062	              0.0059	              0.0062	              0.0059	              0.0060	              0.0063	              0.0066	              0.0063	              0.0059	              0.0057	              0.0055	              0.0052	              0.0049	              0.0046	              0.0044	              0.0041	              0.0039	              0.0037	              0.0036	              0.0034	              0.0034	              0.0033	              0.0032	              0.0032	              0.0031	              0.0029	              0.0027	              0.0027	              0.0027	              0.0027	              0.0027	              0.0028	              0.0027	              0.0027	              0.0029	              0.0711	              0.0712	              0.0699	              0.0691	              0.0046	              0.0021	              0.0014	              0.0011	            0.000742	              0.0013	              0.0014	            0.000857	              0.0011	            0.000882	              0.0014	              0.0016	              0.0017	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	              0.0014	
               FLTB7	           9.09e-005	              0.0021	            0.000799	            0.000746	              0.0028	              0.0020	            0.000723	            0.000931	              0.0026	              0.0025	            0.000808	            0.000803	              0.0028	              0.0039	            0.000401	              0.0036	              0.0094	              0.0020	            0.000957	              0.0022	              0.0028	              0.0059	              0.0123	              0.0093	              0.0086	              0.0054	              0.0024	              0.0053	              0.0308	              0.0135	              0.0186	              0.0023	              0.0212	            0.000255	              0.0093	              0.0008	              0.0051	              0.0014	            0.000901	              0.0029	              0.0020	            0.000729	            0.000765	              0.0015	            0.000867	              0.0019	              0.0011	              0.0013	              0.0012	            0.000372	            0.000789	             0.00035	            7.2e-005	            0.000169	             0.00033	           7.84e-005	            0.000127	            0.000168	            0.000129	            0.000122	            0.000192	             0.00026	            0.000229	             0.00023	             0.00021	             0.00022	            0.000175	            0.000134	            0.000115	             0.00013	           9.88e-005	           8.07e-005	           6.91e-005	           5.49e-005	           5.46e-005	           5.85e-005	           5.88e-005	           6.36e-005	           5.53e-005	           7.09e-005	           7.35e-005	           7.64e-005	           7.91e-005	           9.61e-005	            0.000116	            0.000118	            0.000144	            0.000167	            0.000201	            0.000219	            0.000236	            0.000249	            0.000261	            0.000253	            0.000263	            0.000287	            0.000395	              0.0363	              0.0369	              0.0037	              0.0039	              0.0046	              0.0034	              0.0021	              0.0015	              0.0019	              0.0021	              0.0024	              0.0030	              0.0040	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	              0.0036	
               FLTB9	           2.07e-005	              0.0013	             0.00032	            0.000381	              0.0013	              0.0011	            0.000464	            0.000476	            0.000719	            0.000736	            0.000244	            0.000611	            0.000423	            0.000632	            0.000181	            0.000635	            0.000946	            0.000377	           6.62e-005	            0.000332	            0.000313	              0.0011	              0.0012	              0.0011	              0.0010	            0.000499	            0.000816	              0.0011	              0.0040	              0.0018	              0.0036	            0.000512	              0.0050	            0.000244	              0.0034	            0.000897	              0.0033	              0.0013	              0.0010	              0.0027	              0.0022	            0.000418	            0.000722	              0.0011	            0.000715	            0.000296	             0.00083	            0.000487	            0.000719	             0.00088	            0.000638	            0.000437	            0.000613	            0.000739	            0.000357	            0.000168	            0.000192	             0.00015	            0.000109	           4.52e-005	           6.33e-005	           6.52e-005	           8.23e-005	           4.81e-005	           8.22e-005	           4.53e-005	           4.09e-005	           5.88e-005	            9.3e-005	            0.000114	            0.000112	            0.000158	            0.000183	            0.000196	            0.000238	            0.000282	            0.000306	            0.000315	            0.000313	            0.000332	            0.000342	            0.000323	            0.000297	            0.000407	            0.000454	            0.000332	             0.00037	            0.000409	            0.000391	            0.000341	            0.000389	            0.000704	              0.0018	              0.0526	              0.0540	              0.0484	              0.0497	              0.0324	              0.0331	              0.0332	              0.0336	            0.000888	            0.000705	            0.000355	              0.0013	              0.0012	            0.000382	            0.000382	            0.000299	            0.000234	            0.000219	            0.000175	            0.000323	            0.000122	            0.000101	            0.000165	            0.000208	            0.000205	            0.000217	            0.000221	            0.000218	            0.000163	            0.000219	             0.00021	            0.000209	            0.000209	            0.000209	            0.000209	            0.000209	            0.000209	
             RDRRTB5	           3.32e-005	              0.0011	            0.000557	            0.000615	             0.00074	             0.00092	            0.000333	            0.000391	            0.000336	            0.000576	            0.000171	            0.000469	            0.000201	            0.000472	             0.00017	            0.000198	              0.0013	            0.000278	            0.000224	            0.000673	              0.0002	            0.000821	              0.0016	              0.0011	            0.000388	            0.000433	            0.000986	              0.0029	              0.0026	              0.0021	              0.0064	              0.0014	              0.0051	              0.0013	              0.0186	              0.0032	              0.0051	              0.0022	              0.0043	              0.0022	            0.000796	            0.000939	            0.000473	            0.000521	            0.000983	              0.0015	            0.000386	            0.000677	            0.000217	             0.00078	              0.0010	            0.000435	            0.000358	            0.000328	            0.000683	            0.000474	            0.000461	            0.000511	            0.000228	            0.000154	             0.00023	            0.000264	            0.000408	            0.000443	            0.000741	            0.000703	            0.000837	            0.000612	            0.000679	            0.000784	            0.000607	            0.000446	            0.000413	              0.0004	            0.000399	            0.000417	            0.000436	            0.000394	            0.000409	            0.000388	            0.000382	            0.000319	            0.000268	            0.000316	            0.000271	            0.000236	            0.000299	            0.000339	            0.000286	            0.000191	           3.15e-005	              0.0557	              0.0561	              0.0564	              0.0553	              0.0591	              0.0590	              0.0615	              0.0610	              0.0896	              0.0878	            0.000811	            0.000335	            0.000457	            0.000528	            0.000772	              0.0015	            0.000562	            0.000454	            0.000432	            0.000396	            0.000294	            0.000311	            0.000296	            0.000432	            0.000523	            0.000376	             0.00064	            0.000606	            0.000606	            0.000606	            0.000606	            0.000606	            0.000606	            0.000606	            0.000606	            0.000606	            0.000606	            0.000606	            0.000606	
             RDRRTB7	           2.41e-005	            0.000851	            0.000708	              0.0012	              0.0014	              0.0010	            0.000971	            0.000127	              0.0014	             0.00071	            0.000257	            0.000595	            0.000338	            0.000586	           5.76e-005	            0.000283	            0.000379	            0.000433	            0.000139	            0.000155	            0.000193	            0.000314	            0.000378	            0.000414	            0.000221	            0.000145	            0.000722	            0.000358	            0.000827	            0.000178	              0.0012	            0.000103	            0.000813	            0.000178	            0.000942	           7.23e-005	            0.000332	            0.000102	            0.000236	            0.000188	            0.000128	            0.000144	            0.000163	            0.000175	            0.000252	            0.000392	            0.000125	            0.000239	            0.000438	            0.000875	            0.000542	            0.000483	            0.000401	            0.000164	            0.000362	             0.00014	            0.000124	           8.88e-005	            0.000158	           5.26e-005	           2.51e-005	           1.28e-005	           9.24e-006	           1.43e-005	           1.62e-005	           1.92e-005	           3.03e-005	           5.05e-005	           6.37e-005	           6.44e-005	           7.32e-005	           7.28e-005	            6.7e-005	           5.79e-005	           5.63e-005	            6.2e-005	           7.28e-005	           7.18e-005	           7.16e-005	           8.13e-005	            7.7e-005	           7.27e-005	           7.79e-005	           8.61e-005	           8.16e-005	           6.95e-005	           8.17e-005	            0.000108	            0.000119	            0.000108	            0.000119	            0.000134	            0.000126	            0.000126	             0.00014	            0.000155	            0.000712	              0.0591	              0.0586	              0.0580	              0.0576	              0.0047	              0.0051	              0.0021	              0.0021	              0.0016	              0.0013	              0.0016	              0.0017	              0.0018	              0.0020	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	              0.0022	
             RDRSTB5	            0.000121	              0.0063	              0.0028	              0.0033	              0.0160	              0.0092	              0.0025	              0.0022	              0.0045	              0.0036	              0.0012	            0.000948	              0.0020	              0.0020	            0.000251	              0.0011	              0.0019	             0.00066	            0.000299	             0.00019	            0.000517	              0.0013	              0.0015	              0.0014	             0.00096	            0.000716	              0.0011	              0.0017	              0.0052	              0.0035	              0.0054	            0.000624	              0.0110	            0.000229	              0.0063	              0.0014	              0.0075	              0.0027	              0.0016	              0.0022	              0.0029	            0.000494	            0.000575	              0.0010	            0.000588	            0.000449	            0.000438	              0.0013	              0.0011	              0.0013	            0.000605	            0.000908	            0.000142	           9.59e-005	            0.000142	           8.54e-005	           7.17e-005	           6.08e-005	            0.000142	            0.000113	           5.35e-005	           5.52e-005	           5.48e-005	           4.13e-005	           2.32e-005	           2.35e-005	           3.43e-005	            3.6e-005	           4.83e-005	           6.24e-005	           7.05e-005	           6.69e-005	           5.94e-005	           5.27e-005	           4.95e-005	           4.11e-005	           4.51e-005	           4.52e-005	           4.23e-005	           5.33e-005	           5.61e-005	           5.72e-005	           5.77e-005	           6.83e-005	           8.95e-005	           8.05e-005	           6.87e-005	           6.77e-005	           6.89e-005	           6.71e-005	           5.88e-005	           6.38e-005	            5.6e-005	            8.5e-005	            0.000252	              0.0449	              0.0490	              0.0520	              0.0553	              0.0569	              0.0580	              0.0025	              0.0022	              0.0018	              0.0014	              0.0014	              0.0013	              0.0016	              0.0015	              0.0016	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	              0.0017	
